island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g
Biscoe,35,17.9,192,3725
Biscoe,41,20,203,4725
Biscoe,37.7,16,183,3075
Biscoe,37.8,20,190,4250
Biscoe,37.9,18.6,193,2925
Biscoe,39.7,18.9,184,3550
Biscoe,38.6,17.2,199,3750
Biscoe,38.2,20,190,3900
Biscoe,38.1,17,181,3175
Biscoe,43.2,19,197,4775
Biscoe,38.1,16.5,198,3825
Biscoe,45.6,20.3,191,4600
Biscoe,39.7,17.7,193,3200
Biscoe,42.2,19.5,197,4275
Biscoe,39.6,20.7,191,3900
Biscoe,42.7,18.3,196,4075
Torgersen,38.6,17,188,2900
Torgersen,37.3,20.5,199,3775
Torgersen,35.7,17,189,3350
Torgersen,41.1,18.6,189,3325
Torgersen,36.2,17.2,187,3150
Torgersen,37.7,19.8,198,3500
Torgersen,40.2,17,176,3450
Torgersen,41.4,18.5,202,3875
Torgersen,35.2,15.9,186,3050
Torgersen,40.6,19,199,4000
Torgersen,38.8,17.6,191,3275
Torgersen,41.5,18.3,195,4300
Torgersen,39,17.1,191,3050
Torgersen,44.1,18,210,4000
Torgersen,38.5,17.9,190,3325
Torgersen,43.1,19.2,197,3500
Dream,36.8,18.5,193,3500
Dream,37.5,18.5,199,4475
Dream,38.1,17.6,187,3425
Dream,41.1,17.5,190,3900
Dream,35.6,17.5,191,3175
Dream,40.2,20.1,200,3975
Dream,37,16.5,185,3400
Dream,39.7,17.9,193,4250
Dream,40.2,17.1,193,3400
Dream,40.6,17.2,187,3475
Dream,32.1,15.5,188,3050
Dream,40.7,17,190,3725
Dream,37.3,16.8,192,3000
Dream,39,18.7,185,3650
Dream,39.2,18.6,190,4250
Dream,36.6,18.4,184,3475
Dream,36,17.8,195,3450
Dream,37.8,18.1,193,3750
Dream,36,17.1,187,3700
Dream,41.5,18.5,201,4000
